:LABEL,valid_until,country_codes,countries,node_id:ID,sourceID,name,jurisdiction_description,service_provider,jurisdiction,closed_date,incorporation_date,ibcRUC,type,status,company_type,note
Intermediary,Bahamas corporate registry data is current through 2016,,,34304771,Paradise Papers - Bahamas corporate registry,CITITRUST (BAHAMAS) LIMITED,Bahamas,,BAH,,,,,null,,
Intermediary,Appleby data is current through 2014,BMU,Bermuda,80000189,Paradise Papers - Appleby,Appleby Management (Bermuda) Ltd.,,,,,,,,,,
Intermediary,Appleby data is current through 2014,BMU,Bermuda,80000191,Paradise Papers - Appleby,Appleby Services (Bermuda) Ltd.,,,,,,,,,,
Intermediary,Appleby data is current through 2014,VGB,British Virgin Islands,80000392,Paradise Papers - Appleby,Appleby Corporate Services (BVI) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,HKG,Hong Kong,80007709,Paradise Papers - Appleby,Appleby Corporate Services (HK) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,BMU,Bermuda,80008235,Paradise Papers - Appleby,"Northern Trust Global Fund Services Bermuda, Ltd.",,,,,,,,,,
Intermediary,Appleby data is current through 2014,IMN,Isle of Man,80010095,Paradise Papers - Appleby,Appleby Trust (Isle of Man) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,GGY,Guernsey,80010696,Paradise Papers - Appleby,Appleby Trust (Guernsey) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,CYM,Cayman Islands,80011301,Paradise Papers - Appleby,Appleby Trust (Cayman) Ltd.,,,,,,,,,,
Intermediary,Appleby data is current through 2014,CYM,Cayman Islands,80011866,Paradise Papers - Appleby,Appleby Corporate Services (Cayman) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,CYM,Cayman Islands,80012109,Paradise Papers - Appleby,Appleby Services (Cayman) Limited,,,,,,,,,,
Intermediary,Appleby data is current through 2014,,,80013722,Paradise Papers - Appleby,Orient STAR Trust,,,,,,,,,,
