:LABEL,valid_until,country_codes,countries,node_id:ID,sourceID,name,jurisdiction_description,service_provider,jurisdiction,closed_date,incorporation_date,ibcRUC,type,status,company_type,note
Other,Appleby data is current through 2014,,,80000012,Paradise Papers - Appleby,GROUP - Ansbacher & Co (UK/Channel Is),,,,,,,,,,
Other,Appleby data is current through 2014,BMU;IMN,Bermuda;Isle of Man,80004686,Paradise Papers - Appleby,AAK Company Ltd.,,,,,,,,,,
Other,Appleby data is current through 2014,,,80008912,Paradise Papers - Appleby,Appleby Group (Mauritius),,,,,,,,,,
Other,Appleby data is current through 2014,CYM,Cayman Islands,80010195,Paradise Papers - Appleby,Chemsa Ltd.,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010320,Paradise Papers - Appleby,Marks & Spencer (Isle of Man) Pension Scheme Limited,,,,,,,,,,
Other,Appleby data is current through 2014,,,80010328,Paradise Papers - Appleby,Brunswick Gardens Limited,,,,,,,,,,
Other,Appleby data is current through 2014,,,80010329,Paradise Papers - Appleby,Crucible Insurance Company Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010333,Paradise Papers - Appleby,Habib European Bank Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010338,Paradise Papers - Appleby,Lan Fong Foundation Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010339,Paradise Papers - Appleby,Lotpat Limited,,,,,,,,,,
Other,Appleby data is current through 2014,,,80010354,Paradise Papers - Appleby,Castletown and District Over 60's Club,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010355,Paradise Papers - Appleby,Christopher Insurance Company Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010360,Paradise Papers - Appleby,Manx Sports Aid Foundation,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010361,Paradise Papers - Appleby,Pembroke Insurance Company Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010366,Paradise Papers - Appleby,Ruthlands Ltd.,,,,,,,,,,
Other,Appleby data is current through 2014,IMN;GBR,Isle of Man;United Kingdom,80010367,Paradise Papers - Appleby,Abrahams Consolidated Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010369,Paradise Papers - Appleby,Marsh (Isle of Man) Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010375,Paradise Papers - Appleby,Prime Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010392,Paradise Papers - Appleby,Greatways Investments Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010400,Paradise Papers - Appleby,Sermar Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010401,Paradise Papers - Appleby,FMG Services Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010418,Paradise Papers - Appleby,Zurich Bank International Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010428,Paradise Papers - Appleby,Biosil Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010436,Paradise Papers - Appleby,Wish Upon a Dream,,,,,,,,,,
Other,Appleby data is current through 2014,,,80010455,Paradise Papers - Appleby,The Eleanor Davies Trust,,,,,,,,,,
Other,Appleby data is current through 2014,,,80010459,Paradise Papers - Appleby,Jacton Properties Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010475,Paradise Papers - Appleby,Principle Energy Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010477,Paradise Papers - Appleby,Tolmain Advisory Services Limited,,,,,,,,,,
Other,Appleby data is current through 2014,,,80010483,Paradise Papers - Appleby,Manx Mencap,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010486,Paradise Papers - Appleby,China Central Properties Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010487,Paradise Papers - Appleby,Calabrese Holdings Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010488,Paradise Papers - Appleby,Argon Technologies Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010490,Paradise Papers - Appleby,Society of Trust and Estate Practitioners (Isle of Man) Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010491,Paradise Papers - Appleby,Penfolds Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010499,Paradise Papers - Appleby,The Fairway Partnership,,,,,,,,,,
Other,Appleby data is current through 2014,,,80010500,Paradise Papers - Appleby,The Palmerston Partnership,,,,,,,,,,
Other,Appleby data is current through 2014,,,80010501,Paradise Papers - Appleby,The Beaghmor Partnership,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010521,Paradise Papers - Appleby,RSA Isle of Man No.1 Limited,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010523,Paradise Papers - Appleby,Kazakhstan Kagazy Plc,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010524,Paradise Papers - Appleby,The Abode Partnership,,,,,,,,,,
Other,Appleby data is current through 2014,IMN,Isle of Man,80010525,Paradise Papers - Appleby,DLS Properties Limited,,,,,,,,,,
